,Run,K,M,J,a,b,eig1,eig2
244,2,40,50,50,0.00157251950991769,0.0014792132039754657,1469,1804
245,2,40,50,60,0.001451350192729058,0.001345067814708984,1539,1850
246,2,40,60,10,0.0038740002861646083,0.003598666727375854,570,689
247,2,40,60,20,0.002410779588379535,0.0023134559960958758,1008,1280
248,2,40,60,30,0.0018891646610702947,0.0018294355399340833,1316,1705
249,2,40,60,40,0.0016109752039714024,0.0015512228156171438,1523,1951
250,2,40,60,50,0.001432256860032117,0.0013646227545675864,1666,2091
251,2,40,60,60,0.0013121648906302707,0.0012351451718138724,1761,2164
252,2,100,10,10,0.0035539007566796955,0.0033758331282918333,662,831
253,2,100,10,20,0.0026001007055702022,0.0023385513025700583,804,939
254,2,100,10,30,0.0022427531084947857,0.001904720727524059,851,962
255,2,100,10,40,0.002054834655929912,0.0016629017865012006,869,968
256,2,100,10,50,0.0019091526504232436,0.0014682395267490206,888,975
257,2,100,10,60,0.0018014356201959956,0.0013162291246513495,892,975
258,2,100,20,10,0.002581486065076818,0.0024514027187147462,901,1117
259,2,100,20,20,0.0017676844360868056,0.00167656991598794,1313,1652
260,2,100,20,30,0.0014720477507724923,0.0013667217006409014,1510,1823
261,2,100,20,40,0.0012953391916476753,0.001162826186020932,1605,1878
262,2,100,20,50,0.0011850623178648917,0.0010305433230356014,1663,1905
263,2,100,20,60,0.0011071338591950315,0.0009329111150646252,1698,1921
264,2,100,30,10,0.00226026193129483,0.0021075645021879728,979,1181
265,2,100,30,20,0.0014616085002557063,0.0013983261939111997,1616,2046
266,2,100,30,30,0.001180914496169191,0.0011210325509186327,1975,2486
267,2,100,30,40,0.0010267366178983825,0.0009596586772820498,2195,2680
268,2,100,30,50,0.0009290568709014056,0.0008504633994214129,2318,2768
269,2,100,30,60,0.0008648483557326814,0.0007769620315619569,2408,2818
270,2,100,40,10,0.0020718746824745496,0.001897283534250179,1017,1210
271,2,100,40,20,0.0012888617261145705,0.0012219298697015296,1791,2227
272,2,100,40,30,0.0010262341863682147,0.0009815457251208606,2301,2922
273,2,100,40,40,0.0008914222096000545,0.0008481785233588343,2636,3318
274,2,100,40,50,0.0007967302021619838,0.0007482725438563153,2861,3530
275,2,100,40,60,0.000733002935642639,0.0006785284538015916,3008,3638
276,2,100,50,10,0.001924721486792382,0.0017246068274407683,1039,1222
277,2,100,50,20,0.0011870881380486788,0.0011148423924948307,1892,2309
278,2,100,50,30,0.0009354286905439768,0.0008941793320735403,2525,3185
279,2,100,50,40,0.0007987205252787099,0.0007647308860506728,2976,3776
280,2,100,50,50,0.0007088719159340349,0.0006736873606319764,3299,4152
281,2,100,50,60,0.0006509612372883164,0.0006137608482291388,3527,4363
282,2,100,60,10,0.0018393763035290985,0.001624434200772428,1054,1233
283,2,100,60,20,0.0011180919571783144,0.0010409652619726754,1961,2361
284,2,100,60,30,0.0008662884083864292,0.000823008879770223,2677,3332
285,2,100,60,40,0.0007292784398371077,0.0006970080040988293,3232,4097
286,2,100,60,50,0.0006471111444409871,0.0006185013316884587,3645,4623
287,2,100,60,60,0.0005922192142743689,0.0005633615640011676,3957,4979
288,3,1,10,10,0.1328278231312087,0.053811593470533395,10,10
289,3,1,10,20,0.12870260054837931,0.04758136124713674,10,10
290,3,1,10,30,0.11428692925619663,0.02474297735007603,10,10
291,3,1,10,40,0.11617621298854607,0.027841280906910577,10,10
292,3,1,10,50,0.11201600675348734,0.020961084206350088,10,10
293,3,1,10,60,0.11477329781741048,0.025540564007091482,10,10
294,3,1,20,10,0.07364001190030613,0.03926262837031325,19,20
295,3,1,20,20,0.065648126279888,0.027093370199364412,19,20
296,3,1,20,30,0.06295880207901647,0.022769622376816033,19,20
297,3,1,20,40,0.06118223423684394,0.019845544794435975,19,20
298,3,1,20,50,0.05970084030500054,0.017363909694473132,19,20
299,3,1,20,60,0.05936398858301137,0.016797415077580532,19,20
300,3,1,30,10,0.052179153256791067,0.03126683868823528,28,30
301,3,1,30,20,0.04626875057580914,0.02235237337122859,28,30
302,3,1,30,30,0.04425835234009188,0.01917427802339623,28,30
303,3,1,30,40,0.04188277761395315,0.015295625378118032,29,30
304,3,1,30,50,0.04157026285169751,0.014771166149596364,29,30
305,3,1,30,60,0.040736312006776014,0.01337078617987023,29,30
306,3,1,40,10,0.04160638587048039,0.027207497322450053,37,40
307,3,1,40,20,0.03647638479552066,0.01966855686578057,37,40
308,3,1,40,30,0.03399695448516591,0.01579868666701532,38,40
309,3,1,40,40,0.03312106702647818,0.01439410074595045,38,40
310,3,1,40,50,0.03153367032443775,0.011776922066489757,38,40
311,3,1,40,60,0.031245761290297474,0.011292907083926761,38,40
312,3,1,50,10,0.03575014789661464,0.025336883448286787,45,49
313,3,1,50,20,0.030534177188939974,0.017883639328069006,46,50
314,3,1,50,30,0.028092354536967522,0.014136821195771343,47,50
315,3,1,50,40,0.02701423183334285,0.012414686477038814,47,50
316,3,1,50,50,0.025965968364770213,0.010703908662638867,47,50
317,3,1,50,60,0.025483341037534017,0.009900134168992119,47,50
318,3,1,60,10,0.0312290966811692,0.02316492743065838,54,59
319,3,1,60,20,0.025943351306123078,0.015705709462427553,55,59
320,3,1,60,30,0.024151210046043238,0.012979674780923139,56,60
321,3,1,60,40,0.023034211384742993,0.011224226480430475,56,60
322,3,1,60,50,0.022450048977554315,0.010283806935737523,56,60
323,3,1,60,60,0.021680808191949924,0.009022116845612159,56,60
324,3,10,10,10,0.020876719286167838,0.016794255154491452,87,97
325,3,10,10,20,0.016844260378964034,0.011373505269533487,91,98
326,3,10,10,30,0.015965959336858945,0.010094568504966551,92,99
327,3,10,10,40,0.014810025434048456,0.008346027427873109,93,99
328,3,10,10,50,0.014350318125521152,0.007631101328231322,93,99
